id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1015314601857227444,Suíte em Rio de Janeiro,476504930,Flavia,,Camorim,-22.98089118595285,-43.42353366531354,Entire home/apt,209.0,1,79,2025-09-08,3.42,1,308,24,
696346998065233904,Suíte em frente ao Rock in Rio,451712264,Elir,,Jacarepaguá,-22.97202,-43.3878,Private room,400.0,1,4,2024-09-22,0.11,1,358,0,
1266887220320228989,Apto Copacabana,13894825,Paulo Sérgio,,Copacabana,-22.98168,-43.19349,Entire home/apt,1369.0,4,1,2025-01-02,0.11,2,19,1,
1358820220716643024,Mediterraneo Flat (1103.2),523903815,Reinaldo,,Barra da Tijuca,-23.003902353436164,-43.34023340012416,Entire home/apt,235.0,2,0,,,23,185,0,
664385719184525038,"Copacabana, duas quadras do mar",116816,Deborah Therezinha,,Copacabana,-22.96313,-43.17559,Entire home/apt,408.0,2,11,2025-03-05,0.29,1,356,3,
885532274992500786,2 quartos no coração  do  Leblon,513460876,Gracinda,,Leblon,-22.98243077044783,-43.22316896170378,Entire home/apt,499.0,3,8,2025-05-05,0.3,1,179,3,
1306400395084245839,The best for Carnival Party! 3 min to the beach,665819268,Lina Lima,,Copacabana,-22.974350607251772,-43.18778559565544,Entire home/apt,220.0,3,15,2025-09-14,1.67,1,335,15,
1359712001208069841,Apartamento de praia super aconchegante.,679653100,Everton Alexandre,,Recreio dos Bandeirantes,-23.029197,-43.4840446,Entire home/apt,202.0,2,2,2025-05-06,0.38,1,89,2,
1067997899324865036,Recanto Confort RJ,245215866,Andreia,,Centro,-22.915084311993084,-43.18811181932688,Entire home/apt,341.0,2,5,2025-06-22,0.26,1,258,3,
1034131454413114263,Ano Novo Oportunidade,50133783,Eneida,,Copacabana,-22.97351,-43.1936,Entire home/apt,3200.0,4,0,,,1,365,0,
31647624,Cidade Jardim - luxo e exclusividade,47584281,Renato Silva Vianna,,Jacarepaguá,-22.96392,-43.38391,Entire home/apt,447.0,1,2,2020-01-01,0.03,160,364,0,
45463915,Apartamento de fácil acesso a pontos turísticos RJ,79151243,Breno,,Centro,-22.915217110229975,-43.17775513976813,Entire home/apt,177.0,2,190,2025-09-14,3.22,11,328,35,
36908490,FLAT RIO STAY -LUXO CASAL STANDARD IN RIO (A),277358509,Flat Residence,,Camorim,-22.97485,-43.41559,Entire home/apt,2127.0,10,0,,,20,365,0,
884042298357441137,Quarto privado na Glória próximo a estúdio de Yoga,55524669,Felipe,,Glória,-22.9202,-43.17799,Private room,240.0,1,10,2025-06-22,0.43,2,259,5,
1216972987408941252,Flat dos Artistas | Comodidade em frente ao Projac,15275005,Jonas,,Jacarepaguá,-22.9629559,-43.3996707,Entire home/apt,,2,22,2025-08-17,1.63,16,0,17,
1321903776780578162,Copa Loft Econômico,11785975,Anderson,,Copacabana,-22.96874,-43.1861,Entire home/apt,350.0,3,2,2025-03-14,0.28,8,90,2,
1007987737732646886,Lindo apartamento térreo em Copa!,494161800,Maria Aparecida,,Copacabana,-22.97549553512573,-43.19093987345696,Entire home/apt,459.0,3,48,2025-07-21,2.1,1,142,24,
1474763470951024522,vagas aconchegante,700751073,Luana,,Copacabana,-22.96134761667706,-43.17540906183297,Shared room,72.0,1,1,2025-08-10,0.61,4,335,1,
5135263,Top floor near Engenhão stadium,26523140,Ana Paula,,Cachambi,-22.88847,-43.27898,Entire home/apt,489.0,1,1,2016-08-21,0.01,1,365,0,
1234130681952667001,Loft RioCentro/Rock in RioStay,287444010,Elaine,,Camorim,-22.9752762,-43.4144449,Entire home/apt,1377.0,2,0,,,6,180,0,
11179641,Large Apartment in Copacabana,58184184,Suely,,Copacabana,-22.98194,-43.19222,Entire home/apt,,5,5,2025-03-08,0.06,1,0,1,
125656,"Copacabana Studio -  5* Reviews, 5 mins to Beach",624433,Catherine,,Copacabana,-22.9696,-43.1887,Entire home/apt,532.0,4,98,2025-05-05,0.56,1,268,3,
1202306183174862413,apartamento a 1 quadra da praia,458131839,Gabriel,,Copacabana,-22.98474,-43.19013,Entire home/apt,272.0,2,25,2025-09-21,1.95,1,130,22,
13413783,Apartamento para até 06 pessoas próximo de tudo.,63118141,Alcirema Paula De,,Botafogo,-22.94375,-43.18161,Entire home/apt,,3,4,2019-01-04,0.04,1,0,0,
1060812392970539206,Acolhedora kitnet a 15 minutos da praia do Leme,412320078,Daniel,,Leme,-22.96026,-43.17053,Entire home/apt,192.0,2,2,2024-02-22,0.1,1,257,0,
810800461965497841,Quarto confortável e amplo,34666906,Elizandra,,Tijuca,-22.93341733701992,-43.237801947383055,Private room,,1,6,2025-05-04,0.19,1,0,3,
1044442369725514489,Apartamento em Ipanema,358409428,Karolaine,,Ipanema,-22.98562272894377,-43.194640865487074,Entire home/apt,371.0,2,1,2025-04-21,0.19,1,16,1,
1171213545207042431,Flat c/ garagem - TV 42” na sala e tv no quarto.,581368636,Ana Maria,,Camorim,-22.979296137651275,-43.42206957019263,Entire home/apt,189.0,1,50,2025-09-07,3.46,2,83,38,
973913699449553598,Centro RJ - Studio - 42m² - Cama Casal,240364027,Debora,,Centro,-22.9094769,-43.1776722,Entire home/apt,302.0,1,6,2025-05-11,0.28,32,343,2,
13353420,Quarto para 2 pessoas próximo ao Maracanã,12448289,Vera,,Vila Isabel,-22.92045,-43.23717,Private room,162.0,2,0,,,1,363,0,
44556914,Design flat in Ipanema Posto 9 - Pool and view,601323,Laurent,,Ipanema,-22.98389,-43.20041,Entire home/apt,632.0,2,42,2025-07-22,0.68,7,179,4,
1980432,Luxury Beachfront Rio Life,10220618,Ella,,Copacabana,-22.96939,-43.18176,Entire home/apt,939.0,3,41,2025-08-02,0.35,1,166,9,
1462318475555481587,House carioca Lapa centro,706496168,Sonia Maria Queiroz,,Centro,-22.91118474944748,-43.175832203455,Entire home/apt,281.0,3,0,,,1,89,0,
1371059020261568578,Hostel Harmonia,560393631,Atilana,,Gamboa,-22.89477804174616,-43.19339035598631,Shared room,290.0,1,0,,,1,365,0,
878276709428328874,"Alugo kitnet vazio, fim semana.",434259690,Andréa,,Recreio dos Bandeirantes,-23.02488846866128,-43.50281473249197,Entire home/apt,115.0,2,0,,,1,365,0,
1298546700742909505,Apartamento com ar de casa RJ,13884320,Amanda,,Gávea,-22.97871,-43.23662,Entire home/apt,1440.0,3,0,,,1,362,0,
18670629,Praia de Copacabana e Ipanema  Arpoador,2312911,Elena E Sergio,,Ipanema,-22.98507,-43.19362,Entire home/apt,300.0,2,297,2025-09-15,2.96,27,81,27,
1278558004062451893,Apart de tranquilidade e paz.,461094665,Sandra,,Recreio dos Bandeirantes,-23.03016329856366,-43.47079988569022,Entire home/apt,145.0,4,9,2025-07-31,0.93,4,216,9,
1414557092133198939,Wonderful sea view Studio,13832827,Bernardo,,Botafogo,-22.949417959140757,-43.182172402739525,Entire home/apt,324.0,3,6,2025-09-15,1.33,11,241,6,
1328421688047887538,Квартира с захватывающим видом,705343,Oleksandr,,Ipanema,-22.98191,-43.19918,Entire home/apt,965.0,2,2,2025-06-23,0.23,4,342,2,
1475514408218858793,Quarto Privativo e Aconchegante,283916598,Gustavo,,Sampaio,-22.9020778,-43.2606118,Private room,54.0,1,3,2025-09-14,1.73,1,298,3,
969781892259518973,Tiny Studio Nation Copacabana,17325065,Artur,,Copacabana,-22.961849361458857,-43.1751612377224,Entire home/apt,191.0,1,104,2025-09-10,4.2,25,82,69,
1362591417634996566,Apartamento 5 minutos de Copacabana! Vista Mar,577259,Fátima,,Botafogo,-22.9585,-43.17771,Entire home/apt,553.0,3,6,2025-09-17,0.9,3,137,6,
883537640220834132,"Suíte luxo para até 4 pessoas, vista para o mar.",513038155,Maria Angélica,,São Conrado,-22.9980396,-43.2568208,Private room,,1,0,,,1,44,0,
42088104,Yellow room/suite quarto amarelo,227290620,Sandra,,São Conrado,-22.99852,-43.25179,Private room,450.0,3,1,2020-02-28,0.01,2,173,0,
572527904364815031,Barra Bela Praia Wi-Fi Ar  Piscina Climatizada,447283008,Jorge,,Barra da Tijuca,-23.01204,-43.38426,Entire home/apt,520.0,2,1,2023-11-26,0.04,1,89,0,
1277033834663814047,"Ap top, confort, praia, com Garagem",335170968,Christine,,Copacabana,-22.98251,-43.1922635,Entire home/apt,223.0,3,4,2025-08-16,0.45,27,319,4,
26713925,Flat Barra Leme,5706807,Carla,,Barra da Tijuca,-23.01518,-43.3024,Entire home/apt,436.0,3,128,2025-09-22,1.48,1,42,26,
